Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.johanba_server_volume_size,Johanba-Server Volume size,3666.08282852173,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.240828+00:00,2025-10-02T15:08:14.240828+00:00,sensor,N/A,False,N/A
sensor.johanba_server_used_space_volume_1,Johanba-Server Used space (Volume 1),318.626956939697,GiB,data_size,measurement,N/A,2025-10-02T15:26:23.036801+00:00,2025-10-02T15:26:23.036801+00:00,sensor,N/A,False,N/A
sensor.johanba_server_free_space_volume_1,Johanba-Server Free space (Volume 1),3347.45587158203,GiB,data_size,measurement,N/A,2025-10-02T15:26:23.037598+00:00,2025-10-02T15:26:23.037598+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_used_volume_1,Johanba-Server Volume used (Volume 1),8.69120998742347,%,N/A,measurement,N/A,2025-10-02T15:26:23.043684+00:00,2025-10-02T15:26:23.043684+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_size_2,Johanba-Server Volume size,3709.73077774048,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.244428+00:00,2025-10-02T15:08:14.244428+00:00,sensor,N/A,False,N/A
sensor.johanba_server_used_space_volume_2,Johanba-Server Used space (Volume 2),28.4889640808105,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.246513+00:00,2025-10-02T15:08:14.246513+00:00,sensor,N/A,False,N/A
sensor.johanba_server_free_space_volume_2,Johanba-Server Free space (Volume 2),3681.24181365967,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.247425+00:00,2025-10-02T15:08:14.247425+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_used_volume_2,Johanba-Server Volume used (Volume 2),0.767952333677502,%,N/A,measurement,N/A,2025-10-02T15:08:14.248248+00:00,2025-10-02T15:08:14.248248+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_size_3,Johanba-Server Volume size,3709.73077774048,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.249107+00:00,2025-10-02T15:08:14.249107+00:00,sensor,N/A,False,N/A
sensor.johanba_server_used_space_volume_3,Johanba-Server Used space (Volume 3),1606.45974349976,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.249813+00:00,2025-10-02T15:08:14.249813+00:00,sensor,N/A,False,N/A
sensor.johanba_server_free_space_volume_3,Johanba-Server Free space (Volume 3),2103.27103424072,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.250679+00:00,2025-10-02T15:08:14.250679+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_used_volume_3,Johanba-Server Volume used (Volume 3),43.3039441336015,%,N/A,measurement,N/A,2025-10-02T15:08:14.251768+00:00,2025-10-02T15:08:14.251768+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_size_4,Johanba-Server Volume size,3709.73077774048,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.253492+00:00,2025-10-02T15:08:14.253492+00:00,sensor,N/A,False,N/A
sensor.johanba_server_used_space_volume_4,Johanba-Server Used space (Volume 4),2823.96859741211,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.254372+00:00,2025-10-02T15:08:14.254372+00:00,sensor,N/A,False,N/A
sensor.johanba_server_free_space_volume_4,Johanba-Server Free space (Volume 4),885.762180328369,GiB,data_size,measurement,N/A,2025-10-02T15:08:14.255181+00:00,2025-10-02T15:08:14.255181+00:00,sensor,N/A,False,N/A
sensor.johanba_server_volume_used_volume_4,Johanba-Server Volume used (Volume 4),76.1232759626867,%,N/A,measurement,N/A,2025-10-02T15:08:14.255848+00:00,2025-10-02T15:08:14.255848+00:00,sensor,N/A,False,N/A
sensor.network_scanner,Network Scanner,48,Devices,N/A,N/A,N/A,2025-10-02T15:25:39.111440+00:00,2025-10-02T15:25:39.111440+00:00,sensor,N/A,False,N/A
sensor.onedrive_storage_percentage,OneDrive Storage Percentage,unavailable,%,N/A,measurement,mdi:percent,2025-10-02T15:08:53.410960+00:00,2025-10-02T15:08:53.410960+00:00,sensor,N/A,True,0
sensor.onedrive_storage_remaining,OneDrive Storage Remaining,unavailable,GB,data_size,measurement,mdi:harddisk-remove,2025-10-02T15:08:53.411429+00:00,2025-10-02T15:08:53.411429+00:00,sensor,N/A,True,0
sensor.onedrive_storage_status,OneDrive Storage Status,unavailable,N/A,N/A,N/A,mdi:information,2025-10-02T15:08:53.411707+00:00,2025-10-02T15:08:53.411707+00:00,sensor,N/A,True,0
sensor.onedrive_days_until_full,OneDrive Days Until Full,unavailable,days,N/A,N/A,mdi:calendar-clock,2025-10-02T15:08:53.411894+00:00,2025-10-02T15:08:53.411894+00:00,sensor,N/A,True,0
sensor.daily_energy_production,Daily Energy Production,unavailable,kWh,energy,total_increasing,mdi:solar-power,2025-10-02T15:08:53.412083+00:00,2025-10-02T15:08:53.412083+00:00,sensor,N/A,True,0
sensor.total_power_output,Total Power Output,unavailable,W,power,measurement,mdi:flash,2025-10-02T15:08:53.412273+00:00,2025-10-02T15:08:53.412273+00:00,sensor,N/A,True,0
sensor.solar_efficiency,Solar Efficiency,unavailable,%,N/A,measurement,mdi:gauge,2025-10-02T15:08:53.412481+00:00,2025-10-02T15:08:53.412481+00:00,sensor,N/A,True,0
sensor.home_assistant_uptime,Home Assistant Uptime,unavailable,N/A,N/A,N/A,mdi:clock,2025-10-02T15:08:53.413119+00:00,2025-10-02T15:08:53.413119+00:00,sensor,N/A,True,0
sensor.system_health_status,System Health Status,unavailable,N/A,N/A,N/A,mdi:heart-pulse,2025-10-02T15:08:53.413320+00:00,2025-10-02T15:08:53.413320+00:00,sensor,N/A,True,0
